,score,summary
43,1,"в четверг, 28 июля, ""магнит"" опубликует финансовые результаты за 2 квартал и 1 полугодие 2022 года. чистая прибыль во 2 квартале 2021 года составила 12,1 млрд рублей, а выручка достигла 424,3 млрд рублей (+9,6% г/г).
o`key group, в свою очередь, представит операционные результаты за 2 квартал и 1 полугодие 2022 год. чистая розничная выручка o`key group в 1 полугодии 2021 года выросла на 4% в годовом выражении до 87 698 млн рублей.
еще завтра бумаги o`key торгуются последний день с дивидендами. совет директоров компании одобрил выплату промежуточных дивидендов в размере 8,5 млн евро, или 0,03159 евро на одну обыкновенную акцию. закрытие дивидендного реестра - 1 августа 2022 года.
кроме того, завтра пройдет внеочередное общее собрание акционеров тгк-14. акционеры обсудят заключение договора с ""промсвязьбанком"".
и последнее, но не менее значимое событие - заседание совета директоров мтс. совет среди прочих вопросов рассмотрит тему организационных изменений компании."
44,1,"продажи смартфонов на российском рынке в апреле снизились, по данным ритейлеров, на 30%. при этом предпочтения пользователей сместились в сторону бюджетных моделей, в первую очередь китайских: в тройку лидеров вошел бренд realme, вытеснив apple на четвертое место. китайская компания продолжает поставки в россию и даже первой после начала военных действий на украине планирует в ближайшее время анонс нового устройства. в целом рынок, по мнению аналитиков, вряд ли вернется к росту. но поставки будут постепенно восстанавливаться, что приведет к определенному снижению цен."
45,0,"тело бывшего топ-менеджера лукойла александра субботина обнаружили 8 мая в частном доме в мытищах. он умер от сердечной недостаточности. сообщалось, что хозяин дома — шаман, проводивший ритуал вуду"
46,1,"новатэк на фоне санкций ес, запретивших поставку оборудования для сжижения газа, планирует построить спг-завод мощностью 5 млн тонн по российской технологии. как сообщил глава компании леонид михельсон, уже начаты предпроектные работы. пока не ясно, о какой ресурсной базе идет речь, но ранее аналогичная мощность заявлялась для проекта «обского спг»."
47,1,"в сети магазинов re: store, которая продает технику apple, сообщили рбк, что у нее в продаже есть продукция американской компани, поступившая на склады в июне, когда в россии был разрешен параллельный импорт."
48,1,"macbook и iphone поступили на склады в июне, хотя apple объявила о приостановке продаж 1 марта"
49,1,"“ъ” узнал, что «ростелеком» предложил назначить свою структуру единственным поставщиком вычислительной техники (серверов и схд) для российского рынка и создать таким образом «единое окно» для закупок. речь может идти о поставках не только ведомствам, но и коммерческим компаниям. по данным “ъ”, идея обсуждается, но ее резко критикуют другие российские it-интеграторы и не поддерживают в минцифры."
50,0,"международная система передачи межбанковской информации swift с 14 июня прекращает обслуживание трех российских банков, которые в рамках шестого пакета санкций решил отключить от этой системы евросоюз."
51,0,"рф фактически начала вводить поэтапное эмбарго на поставки газа в ес: из-за принятых россией санкций «газпром» больше не будет поставлять газ в германию по трубопроводу ямал—европа, а также снабжать свои бывшие сбытовые предприятия в стране. но формулировки контрсанкций обернулись и против самой россии. теперь новатэк, возможно, не сумеет продать 3 млн тонн спг в год «газпрому», а сам «газпром» — до 1 млн тонн с проекта «сахалин-2»."
52,0,"помимо этого под санкции попала объединенная судостроительная корпорация. обе компании подпадают под действие указа, предусматривающего блокировку активов"
53,0,в соединенных штата ограничили использование вакцины johnson & johnson от covid-19 из-за риска образования тромбов.
54,0,"министерство торговли сша лишил на 180 дней экспортных привилегий три российские авиакомпании: «аэрофлот», utair и azur air."
55,0,"спб биржа предупредила о возможной приостановке торгов ценными бумагами иностранных эмитентов, сообщается на сайте учреждения."
56,1,"спб биржа начинает торги акциями компаний из гонконга. с 20 июня инвесторам будут доступны 12 бумаг, но к концу года их число вырастет до 200. расчеты будут идти в гонконгских долларах без участия европейских клиринговых компаний"
57,1,"дивиденды по иностранным бумагам, выплаченные компаниями в июне, поступят на счета инвесторов в августе, рассказал глава спб биржи роман горюнов. но деньги получат только держатели бумаг, размещенных на торговых счетах"
58,0,"сервис доставки грузов и документов сдэк сообщил о нарушениях на таможне в аэропортах москвы, а также на авиационном таможенном посту центра электронного декларирования (цэд)."
59,0,"первая партия товаров, заказанных из-за границы через cdek.shopping, уже доставлена адресатам. задержку в компании объяснили необходимостью срочно искать новые маршруты и схемы оплаты «в текущих реалиях»"
60,0,"по данным сбу, речь идет об активах российских госкомпаний на украине на сумму свыше $71 млн. в «роснефти» опровергали информацию о наличии активов в стране"
61,0,"отказ акционеров «газпрома» одобрить предложенные советом директоров дивиденды привел к обвалу не только котировок акций монополии, но и всего российского фондового рынка. по итогам дня индекс московской биржи потерял более 7%, вернувшись к значениям конца апреля. инвесторы активно продавали, закладывая в свои модели возможный отказ собраний акционеров от дивидендов и других госкомпаний."
62,1,"российский рынок начал торги четверга повышением индикаторов: рублевый индекс мосбиржи в первые минуты торгов прибавил 0,65% до 2210,38 пункта, долларовый ртс поднялся на 1,6% до 1172,41 пункта.
лидируют акции ""селигдара"" (+3,16%), эмитент теперь торгуется в первом котировальном списке, а также ""магнита"" (+2,17%) на фоне публикации квартальной отчетности, ""русгидро"" (+1,68%), которая сегодня отчитается по рсбу.
в числе аутсайдеров - недавние фавориты: cian(-3,16%), ozon(-0,91%), группа лср (-0,18%).
на сырьевом рынке цены на нефть возобновили рост на фоне статистики по запасам в сша за неделю, показавшей сокращение резервов бензина. сентябрьский фьючерс на марку brent подорожал на 1,26% до $107,96 за баррель,контракт на сорт light - на 1,73% до $98,94 за ""бочку"".
на валютной секции мосбиржи рубль укрепляется к корзине валют. доллар подешевел на 0,77% до 59,42 рубля, евро - на 0,25% до 60,58 рубля.
"
63,1,"руководитель отдела корпоративной стратегии, коммуникаций и отношений с инвесторами группы veon алекс болис назначен советником генерального директора и финансового директора группы. об этом сообщила компания.
в своей новой роли болис сосредоточится на специальных проектах, касающихся как группы, так и конкретных стран.
служба по связям с инвесторами veon теперь будет подчиняться финансовому директору группы серкану окандану, а по связям с общественностью - главному директору группы по персоналу михаэлю шульцу."
64,0,"в сеть попали документы внутренних аккаунтов «ростелекома», в них содержится более 1 тыс. строк с именами и фамилиям, электронными адресами и телефонами. компания начала расследование утечки"
65,0,"в список вошли gazprom germania, в которой «газпром» прекратил участие больше месяца назад, и другие европейские активы. с ними запрещены сделки, также зафрахтованным ими судам нельзя заходить в российские порты"
66,1,"международная компания покинула рынок из-за ситуации на украине, ее российское подразделение выкупили местные топ-менеджеры. оно продолжит работу, но под другим брендом"
67,0,"в июне неизвестные два раза выкладывали в сеть таблицы с персональными данными — сначала с внутренними аккаунтами «ростелекома», а затем с информацией пользователей сервиса «умный дом»"
68,1,"большую часть всех субсидий правительства получат три авиакомпании — «аэрофлот», s7 и «победа», причем «аэрофлоту» достанется четверть общей суммы"
69,0,"«газпром нефть» просит правительство доработать налогообложение доходов по соглашениям о сервисных рисках (сср), которые могут позволить инвесторам из «дружественных» стран участвовать в нефтегазовых проектах в россии без угрозы вторичных санкций. такие соглашения не предусматривают передачи долей и создания общего имущества, позволяя распределять доходы или продукцию между партнерами на договорной основе."
70,0,"twitter превратился в трибуну экстремистов и рупор антироссийской пропаганды, написал в telegram генеральный директор «роскосмоса» дмитрий рогозин после того, как был заблокирован его аккаунт в этой соцсети."
71,0,"несколько точек в разных городах россии закрыл re: store, в санкт-петербурге перестали работать четыре магазина iport. источник «коммерсанта» объяснил закрытие низким спросом и дефицитом товаров"
72,0,"сверхлегкая ракета rocket 3.3 от американской astra space не смогла вывести на орбиту два метеорологических спутника миссии nasa tropics из-за сбоя с двигателем второй ступени спустя около 10 минут после запуска, сообщила компания-разработчик носителя в twitter."
73,1,"компания «соколиные сады», подконтрольная акционерам лукойла вагиту алекперову и леониду федуну и управляющая около 500 га яблоневых садов в воронежской области, задумалась о развитии этого бизнеса. в ее периметре создана новая структура в том числе для производства сидра. это позволит задействовать техническое яблоко, не подходящее для продажи в торговых сетях, а также выйти в востребованный на алкогольном рынке сегмент."
74,1,"регулятор, правительство и «газпром» будут отчитываться главе государства ежемесячно. путин распорядился перевести оплату за газ для недружественных стран в рубли 23 марта."
75,0,"пресс-служба vk сообщила рбк, что первый заместитель генерального директора владимир габриелян погиб «в результате трагического происшествия»."
76,1,"такой вариант предложило российское подразделение, он позволит продолжить операционную деятельность в россии. ранее компания решила сократить более 300 сотрудников в россии, но дальнейших увольнений не планируется"
77,0,мобильное приложение газпромбанка пропало из app store.
78,0,"приложение российской авиакомпании «аэрофлот» теперь недоступно в app store, следует из данных сервиса и сообщения перевозчика."
79,1,"пресс-секретарь председателя правления «газпрома» сергей куприянов назначен новым председателем совета директоров vk (ранее mail.ru group), говорится в сообщении компании."
80,1,"речь идет о компании gazprom markeingtrading singapore, которая ранее попала под российские санкции. ей разрешены поставки спг в течение 90 дней"
81,1,"венгерская энергокомпания mvm обсуждает с «газпромом» перевод расчетов за газ в рублях. ранее премьер-министр страны орбан заявлял, что отказ от российских энергоносителей будет катастрофичен для венгрии"
82,0,"«совкомфлот», один из мировых лидеров в сфере морских танкерных перевозок, планирует продать часть судов, сообщает компания."
83,0,"варшава обязала новатэк, чьи активы оказались заморожены из-за местных санкций, предоставить доступ к своей газовой инфраструктуре польским госкомпаниям. из-за заморозки активов новатэк прекратил поставки топлива в страну. теперь польские pgnig, psg и gaz-system будут поставлять природный газ клиентам в районах, пострадавших от прекращения поставок. при этом пока формально новатэк остается владельцем инфраструктуры."
84,0,"польша обязала компанию новатэк передать государству принадлежащую ей газотранспортную инфраструктуру, заявил официальный представитель правительства польши петр мюллер."
85,0,"польша обязала компанию новатэк передать государству принадлежащую ей газовую инфраструктуру, заявил официальный представитель правительства польши петр мюллер."
86,0,"варшава не может не отреагировать, когда решения о прекращении поставок газа принимаются «в одностороннем порядке и без соответствующих условий в контракте», заявил министр госактивов польши сасин"
